day,rth_open,dec_close,D,thr90_lagged,beta126,stop_scale60,warm,dgate,rgate,trade
2019-07-05,11188.00,11229.50,41.50,warmup,warmup,warmup,0,0,0,0
2019-07-08,11176.50,11168.00,-8.50,warmup,warmup,warmup,0,0,0,0
2019-07-09,11129.75,11193.75,64.00,warmup,warmup,warmup,0,0,0,0
2019-07-10,11253.25,11275.75,22.50,warmup,warmup,warmup,0,0,0,0
2019-07-11,11298.50,11267.00,-31.50,warmup,warmup,warmup,0,0,0,0
2019-07-12,11285.75,11311.75,26.00,warmup,warmup,warmup,0,0,0,0
2019-07-15,11342.25,11343.50,1.25,warmup,warmup,warmup,0,0,0,0
2019-07-16,11336.75,11309.00,-27.75,warmup,warmup,warmup,0,0,0,0
2019-07-17,11308.50,11288.25,-20.25,warmup,warmup,warmup,0,0,0,0
2019-07-18,11229.50,11271.00,41.50,warmup,warmup,warmup,0,0,0,0
2019-07-19,11333.00,11231.25,-101.75,warmup,warmup,warmup,0,0,0,0
2019-07-22,11236.25,11279.50,43.25,warmup,warmup,warmup,0,0,0,0
2019-07-23,11320.50,11318.50,-2.00,warmup,warmup,warmup,0,0,0,0
2019-07-24,11298.75,11382.00,83.25,warmup,warmup,warmup,0,0,0,0
2019-07-25,11356.50,11311.00,-45.50,warmup,warmup,warmup,0,0,0,0
2019-07-26,11356.50,11395.00,38.50,warmup,warmup,warmup,0,0,0,0
2019-07-29,11383.25,11358.50,-24.75,warmup,warmup,warmup,0,0,0,0
2019-07-30,11298.75,11324.75,26.00,warmup,warmup,warmup,0,0,0,0
2019-07-31,11346.25,11267.00,-79.25,warmup,warmup,warmup,0,0,0,0
2019-08-01,11230.00,11185.75,-44.25,warmup,warmup,warmup,0,0,0,0
2019-08-02,11117.25,11059.25,-58.00,warmup,warmup,warmup,0,0,0,0
2019-08-05,10898.25,10756.50,-141.75,warmup,warmup,warmup,0,0,0,0
2019-08-06,10849.75,10880.00,30.25,warmup,warmup,warmup,0,0,0,0
2019-08-07,10805.25,10920.25,115.00,warmup,warmup,warmup,0,0,0,0
2019-08-08,10960.25,11063.50,103.25,warmup,warmup,warmup,0,0,0,0
2019-08-09,11051.00,11039.50,-11.50,warmup,warmup,warmup,0,0,0,0
2019-08-12,10970.00,10922.25,-47.75,warmup,warmup,warmup,0,0,0,0
2019-08-13,10925.50,11101.25,175.75,warmup,warmup,warmup,0,0,0,0
2019-08-14,10966.50,10873.00,-93.50,warmup,warmup,warmup,0,0,0,0
2019-08-15,10874.75,10850.75,-24.00,warmup,warmup,warmup,0,0,0,0
2019-08-16,10914.75,10971.25,56.50,warmup,warmup,warmup,0,0,0,0
2019-08-19,11075.75,11092.50,16.75,warmup,warmup,warmup,0,0,0,0
2019-08-20,11074.75,11057.25,-17.50,warmup,warmup,warmup,0,0,0,0
2019-08-21,11101.00,11093.75,-7.25,warmup,warmup,warmup,0,0,0,0
2019-08-22,11112.25,11080.75,-31.50,warmup,warmup,warmup,0,0,0,0
2019-08-23,11022.00,10841.00,-181.00,warmup,warmup,warmup,0,0,0,0
2019-08-26,10914.50,10913.75,-0.75,warmup,warmup,warmup,0,0,0,0
2019-08-27,10992.50,10930.25,-62.25,warmup,warmup,warmup,0,0,0,0
2019-08-28,10900.25,10949.50,49.25,warmup,warmup,warmup,0,0,0,0
2019-08-29,11044.75,11058.50,13.75,warmup,warmup,warmup,0,0,0,0
2019-08-30,11108.25,11033.00,-75.25,warmup,warmup,21.00,0,0,0,0
2019-09-03,10997.25,10967.75,-29.50,warmup,warmup,21.50,0,0,0,0
2019-09-04,11043.75,11079.00,35.25,warmup,warmup,21.12,0,0,0,0
2019-09-05,11166.00,11228.25,62.25,warmup,warmup,20.75,0,0,0,0
2019-09-06,11232.75,11234.50,1.75,warmup,warmup,20.62,0,0,0,0
