test,n,ev_stressed,wr,note
PRIMARY CCHC-V1,98,15.335306122448975,0.6122448979591837,"perm p 0.0243; CI [+0.710,+30.766]; familywise FAIL; verdict FAIL"
D1 no-regime ablation,226,2.438362831858402,0.4911504424778761,
D2 no-displacement ablation,676,-0.36934911242603863,0.45710059171597633,
D3 component-free baseline,1639,-0.796763270286763,0.4673581452104942,
D4 reversal,98,-12.077959183673475,0.336734693877551,
D5 regime-perm,10000,2.2759000616036835,nan,p=0.0211
D6 shift -20,116,16.75318965517241,nan,
D6 shift -10,106,19.78933962264151,nan,
D6 shift +10,104,7.495480769230765,nan,NON-TRADABLE falsification
D6 shift +20,94,4.2614893617021234,nan,NON-TRADABLE falsification
D7 matched random-day control,98,10.93224489795918,0.5510204081632653,half-year x |D| tercile
D8 random-anchor,200,-5.352175439125003,nan,p=0.0050
D9 tod placebo,62,-4.228387096774195,0.4032258064516129,non-overlapping horizon
