day,dir,rth_open,dec_close,D_pts,thr90,beta126,stop_pts,entry,exit,gross,net_base,net_stressed,stopped
2020-01-24,-1,12588.75,12476.25,-112.50,90.50,0.002615,25.50,12475.75,12467.50,8.25,7.38,6.95,0
2020-03-02,1,11879.75,12019.50,139.75,100.50,0.046768,34.00,12019.75,12192.25,172.50,171.63,171.19,0
2020-03-03,-1,12217.25,12015.25,-202.00,101.62,0.090844,34.50,12015.50,11913.75,101.75,100.88,100.44,0
2020-03-04,1,12061.25,12201.00,139.75,102.15,0.122924,35.00,12201.25,12258.75,57.50,56.63,56.20,0
2020-03-11,-1,11479.50,11268.00,-211.50,102.55,0.116396,39.00,11268.25,11314.25,-39.00,-39.87,-40.30,1
2020-03-16,-1,10702.25,10557.75,-144.50,103.38,0.035729,39.75,10557.50,10253.50,304.00,303.13,302.69,0
2020-03-17,1,10486.75,10647.75,161.00,104.50,0.105283,40.00,10647.50,10759.00,111.50,110.63,110.19,0
2020-03-19,1,10498.75,10741.00,242.25,108.10,0.112344,40.75,10742.00,10591.25,-40.75,-41.62,-42.05,1
2020-03-20,-1,10749.75,10455.50,-294.25,111.45,0.049397,41.50,10456.50,10299.00,157.50,156.63,156.19,0
2020-03-23,-1,10318.75,10198.50,-120.25,114.00,0.104289,42.50,10199.25,10317.25,-42.50,-43.37,-43.80,1
2020-03-24,1,10686.75,10806.00,119.25,117.62,0.085905,42.75,10806.50,10853.50,47.00,46.13,45.70,0
2020-03-26,1,10849.50,11088.25,238.75,119.55,0.063734,45.00,11089.50,11188.50,-45.00,-45.87,-46.30,1
2020-03-30,1,10982.50,11145.25,162.75,121.07,0.056726,46.50,11146.00,11188.25,42.25,41.38,40.95,0
2020-04-06,1,11118.25,11299.00,180.75,128.10,0.063265,69.25,11298.75,11373.50,74.75,73.88,73.44,0
2020-04-14,1,11807.75,11995.75,188.00,130.05,0.070014,92.50,11997.00,12003.00,6.00,5.13,4.70,0
2020-04-21,-1,11952.25,11767.00,-185.25,133.93,0.061279,93.50,11766.50,11712.25,54.25,53.38,52.95,0
2020-04-28,-1,12224.50,12045.50,-179.00,136.95,0.074714,96.25,12044.75,11987.50,57.25,56.38,55.95,0
2020-04-29,1,12181.00,12327.50,146.50,139.75,0.082165,100.25,12328.00,12283.75,-44.25,-45.12,-45.55,0
