day,prevclose,dec_close,D,thr90_lagged,beta126,stop_scale60,warm,dgate,rgate,trade
2019-07-08,11227.25,11177.25,-50.00,warmup,warmup,warmup,0,0,0,0
2019-07-09,11169.50,11131.00,-38.50,warmup,warmup,warmup,0,0,0,0
2019-07-10,11209.00,11187.50,-21.50,warmup,warmup,warmup,0,0,0,0
2019-07-11,11286.50,11306.50,20.00,warmup,warmup,warmup,0,0,0,0
2019-07-12,11278.25,11294.75,16.50,warmup,warmup,warmup,0,0,0,0
2019-07-15,11324.25,11335.75,11.50,warmup,warmup,warmup,0,0,0,0
2019-07-16,11346.75,11350.75,4.00,warmup,warmup,warmup,0,0,0,0
2019-07-17,11306.75,11313.00,6.25,warmup,warmup,warmup,0,0,0,0
2019-07-18,11267.75,11231.25,-36.50,warmup,warmup,warmup,0,0,0,0
2019-07-19,11279.50,11309.25,29.75,warmup,warmup,warmup,0,0,0,0
2019-07-22,11212.00,11232.50,20.50,warmup,warmup,warmup,0,0,0,0
2019-07-23,11280.00,11309.25,29.25,warmup,warmup,warmup,0,0,0,0
2019-07-24,11329.00,11311.00,-18.00,warmup,warmup,warmup,0,0,0,0
2019-07-25,11384.25,11390.00,5.75,warmup,warmup,warmup,0,0,0,0
2019-07-26,11305.25,11372.00,66.75,warmup,warmup,warmup,0,0,0,0
2019-07-29,11387.00,11386.25,-0.75,warmup,warmup,warmup,0,0,0,0
2019-07-30,11361.00,11304.50,-56.50,warmup,warmup,warmup,0,0,0,0
2019-07-31,11325.50,11352.75,27.25,warmup,warmup,warmup,0,0,0,0
2019-08-01,11217.50,11237.00,19.50,warmup,warmup,warmup,0,0,0,0
2019-08-02,11171.25,11112.75,-58.50,warmup,warmup,warmup,0,0,0,0
2019-08-05,11060.00,10921.25,-138.75,warmup,warmup,warmup,0,0,0,0
2019-08-06,10781.75,10830.00,48.25,warmup,warmup,warmup,0,0,0,0
2019-08-07,10886.00,10884.00,-2.00,warmup,warmup,warmup,0,0,0,0
2019-08-08,10917.75,10940.00,22.25,warmup,warmup,warmup,0,0,0,0
2019-08-09,11091.00,11025.50,-65.50,warmup,warmup,warmup,0,0,0,0
2019-08-12,11015.00,10959.50,-55.50,warmup,warmup,warmup,0,0,0,0
2019-08-13,10929.00,10904.00,-25.00,warmup,warmup,warmup,0,0,0,0
2019-08-14,11097.25,10994.75,-102.50,warmup,warmup,warmup,0,0,0,0
2019-08-15,10859.25,10887.00,27.75,warmup,warmup,warmup,0,0,0,0
2019-08-16,10852.50,10930.75,78.25,warmup,warmup,warmup,0,0,0,0
2019-08-19,10971.25,11070.50,99.25,warmup,warmup,warmup,0,0,0,0
2019-08-20,11086.25,11094.50,8.25,warmup,warmup,warmup,0,0,0,0
2019-08-21,11033.75,11085.75,52.00,warmup,warmup,warmup,0,0,0,0
2019-08-22,11100.00,11117.50,17.50,warmup,warmup,warmup,0,0,0,0
2019-08-23,11074.00,11100.50,26.50,warmup,warmup,warmup,0,0,0,0
2019-08-26,10832.75,10916.25,83.50,warmup,warmup,warmup,0,0,0,0
2019-08-27,10942.00,10965.50,23.50,warmup,warmup,warmup,0,0,0,0
2019-08-28,10930.00,10904.00,-26.00,warmup,warmup,warmup,0,0,0,0
2019-08-29,10952.50,11048.75,96.25,warmup,warmup,warmup,0,0,0,0
2019-08-30,11066.25,11119.25,53.00,warmup,warmup,warmup,0,0,0,0
2019-09-02,11050.00,11031.75,-18.25,warmup,warmup,13.88,0,0,0,0
2019-09-03,10972.75,10985.25,12.50,warmup,warmup,13.25,0,0,0,0
2019-09-04,10973.50,11059.25,85.75,warmup,warmup,13.88,0,0,0,0
2019-09-05,11082.50,11162.25,79.75,warmup,warmup,13.25,0,0,0,0
2019-09-06,11224.75,11239.75,15.00,warmup,warmup,13.88,0,0,0,0
2019-09-09,11215.00,11232.00,17.00,warmup,warmup,14.50,0,0,0,0
2019-09-10,11196.00,11166.00,-30.00,warmup,warmup,13.88,0,0,0,0
2019-09-11,11178.00,11194.00,16.00,warmup,warmup,13.25,0,0,0,0
2019-09-16,11252.25,11200.00,-52.25,warmup,warmup,12.25,0,0,0,0
2019-09-17,11213.75,11216.75,3.00,warmup,warmup,11.75,0,0,0,0
2019-09-18,11251.00,11230.25,-20.75,warmup,warmup,12.50,0,0,0,0
2019-09-19,11248.75,11235.75,-13.00,warmup,warmup,11.75,0,0,0,0
2019-09-20,11259.50,11277.00,17.50,warmup,warmup,12.50,0,0,0,0
2019-09-23,11175.25,11173.00,-2.25,warmup,warmup,12.75,0,0,0,0
2019-09-24,11176.00,11216.50,40.50,warmup,warmup,12.50,0,0,0,0
2019-09-25,11069.25,11042.75,-26.50,warmup,warmup,12.25,0,0,0,0
2019-09-26,11159.25,11169.00,9.75,warmup,warmup,12.50,0,0,0,0
2019-09-27,11128.75,11141.75,13.00,warmup,warmup,12.25,0,0,0,0
2019-09-30,11035.25,11068.25,33.00,warmup,warmup,12.50,0,0,0,0
2019-10-01,11103.75,11127.75,24.00,warmup,warmup,12.75,0,0,0,0
2019-10-02,11037.75,10993.00,-44.75,warmup,warmup,12.50,0,0,0,0
2019-10-03,10902.25,10887.25,-15.00,warmup,warmup,13.00,0,0,0,0
2019-10-04,10988.50,10975.00,-13.50,warmup,warmup,13.00,0,0,0,0
2019-10-07,11101.75,11082.25,-19.50,warmup,warmup,13.50,0,0,0,0
2019-10-08,11072.75,11028.75,-44.00,warmup,warmup,13.50,0,0,0,0
2019-10-09,10953.25,11039.00,85.75,warmup,warmup,13.88,0,0,0,0
2019-10-10,11037.50,11020.75,-16.75,warmup,warmup,14.12,0,0,0,0
2019-10-11,11091.25,11182.50,91.25,warmup,warmup,14.12,0,0,0,0
2019-10-14,11188.25,11180.25,-8.00,warmup,warmup,14.12,0,0,0,0
2019-10-15,11190.25,11212.50,22.25,warmup,warmup,14.38,0,0,0,0
2019-10-16,11289.25,11274.25,-15.00,warmup,warmup,14.38,0,0,0,0
2019-10-17,11269.75,11315.50,45.75,warmup,warmup,14.38,0,0,0,0
2019-10-18,11289.75,11290.25,0.50,warmup,warmup,14.38,0,0,0,0
2019-10-21,11211.75,11244.00,32.25,warmup,warmup,14.38,0,0,0,0
2019-10-22,11282.50,11307.50,25.00,warmup,warmup,14.38,0,0,0,0
2019-10-23,11221.25,11187.25,-34.00,warmup,warmup,14.12,0,0,0,0
2019-10-24,11232.75,11285.75,53.00,warmup,warmup,14.38,0,0,0,0
2019-10-25,11308.25,11272.50,-35.75,warmup,warmup,14.12,0,0,0,0
2019-10-28,11372.00,11400.25,28.25,warmup,warmup,14.12,0,0,0,0
2019-10-29,11452.75,11428.25,-24.50,warmup,warmup,13.88,0,0,0,0
2019-10-30,11390.50,11403.75,13.25,warmup,warmup,13.88,0,0,0,0
2019-10-31,11424.75,11432.00,7.25,warmup,warmup,13.50,0,0,0,0
