test,n,ev_stressed,wr,note
PRIMARY LPCC-V1,127,-2.5628346456692923,0.47244094488188976,"perm p 0.5160; CI [-7.657,+2.492]; verdict FAIL"
D1 no-regime ablation,223,-2.2209417040358748,0.4663677130044843,
D2 no-displacement ablation,1005,-2.704179104477612,0.43482587064676614,
D3 unconditional baseline,1689,-1.7223860272350502,0.4499703966844287,
D4 reversal,127,-2.1592913385826784,0.4330708661417323,
D5 regime-perm,10000,-2.2041565435534505,nan,p=0.5625
D6 shift -20,127,0.8426771653543313,nan,
D6 shift -10,118,4.251525423728813,nan,
D6 shift +10,125,-0.20999999999999985,nan,NON-TRADABLE falsification
D6 shift +20,117,-3.2485470085470087,nan,NON-TRADABLE falsification
D7 matched random-day control,83,-0.25807228915662517,0.5542168674698795,matched half-year x |D| tercile
D8 random-anchor,200,-3.166351602317915,nan,p=0.4229
