day,dir,D_pts,thr,beta,stop_pts,gross,net_base,net_stressed,stopped
2020-09-28,1,207.25,146.47,0.01638,38.75,11.25,10.38,9.51,0
2020-10-01,1,173.25,153.93,0.01573,40.25,-10.25,-11.12,-11.99,0
2020-10-02,-1,-283.50,155.43,0.01815,41.00,-41.00,-41.87,-42.74,1
2020-11-05,1,320.25,168.43,0.02029,45.25,-14.75,-15.62,-16.49,0
2020-11-10,-1,-203.75,171.93,0.01233,45.75,-34.75,-35.62,-36.49,0
2021-01-06,-1,-201.75,173.15,0.00671,32.25,-32.25,-33.12,-33.99,1
2021-02-22,-1,-187.25,174.60,0.00900,24.50,3.75,2.88,2.01,0
2021-02-23,-1,-198.75,175.65,0.00946,26.25,28.25,27.38,26.51,0
2021-03-08,-1,-179.50,172.83,0.00721,30.00,-30.00,-30.87,-31.74,1
2021-07-08,-1,-217.25,142.35,0.00761,32.75,0.75,-0.12,-0.99,0
2021-07-30,-1,-164.50,140.90,0.01225,31.50,9.00,8.13,7.26,0
2021-09-20,-1,-226.25,137.68,0.03805,27.25,36.75,35.88,35.01,0
2021-09-28,-1,-212.50,136.83,0.05050,28.50,21.25,20.38,19.51,0
2021-10-06,-1,-165.50,136.83,0.04789,30.25,-20.25,-21.12,-21.99,0
2021-10-07,1,185.50,136.83,0.04046,31.00,-15.75,-16.62,-17.49,0
2021-10-14,1,144.00,136.83,0.03303,31.00,14.50,13.63,12.76,0
2021-11-26,-1,-206.25,126.78,0.00775,32.50,-8.25,-9.12,-9.99,0
2021-11-29,1,159.00,129.70,0.00458,33.25,-9.75,-10.62,-11.49,0
2021-12-01,1,232.75,130.68,0.00250,34.25,-15.50,-16.37,-17.24,0
2022-01-26,1,263.50,158.20,0.00484,45.75,68.25,67.38,66.51,0
2022-02-02,1,258.25,163.95,0.02375,47.75,-47.75,-48.62,-49.49,1
2022-02-03,-1,-305.25,164.72,0.01317,49.50,6.50,5.63,4.76,0
2022-02-09,1,188.75,165.43,0.01298,52.50,9.75,8.88,8.01,0
2022-02-15,1,292.25,165.43,0.01333,54.25,-16.75,-17.62,-18.49,0
2022-02-22,1,203.50,165.40,0.01074,58.00,-43.50,-44.37,-45.24,0
2022-02-24,-1,-424.75,168.20,0.00272,59.00,43.50,42.63,41.76,0
2022-03-09,1,309.50,165.40,0.00505,65.00,15.75,14.88,14.01,0
2022-03-10,-1,-227.50,167.53,0.00692,65.00,-19.00,-19.87,-20.74,0
2022-03-11,1,178.50,167.53,0.00461,65.00,-1.00,-1.87,-2.74,0
2022-03-16,1,246.75,168.43,0.00417,71.25,-14.00,-14.87,-15.74,0
2022-04-06,-1,-240.50,172.78,0.00129,72.75,-14.00,-14.87,-15.74,0
2022-04-21,1,179.50,177.98,0.00135,65.00,-16.00,-16.87,-17.74,0
2022-04-28,1,261.50,179.40,0.00084,65.00,-38.50,-39.37,-40.24,0
2023-05-25,1,277.50,134.68,0.00327,35.50,11.75,10.88,10.01,0
2023-07-27,1,202.25,120.05,0.00864,34.25,16.00,15.13,14.26,0
2023-07-28,1,149.00,120.47,0.01402,34.25,27.50,26.63,25.76,0
2023-08-24,1,168.50,118.25,0.02425,39.25,-21.00,-21.87,-22.74,0
2023-09-07,-1,-120.25,118.25,0.03385,38.50,12.00,11.13,10.26,0
2023-09-21,-1,-166.00,118.22,0.04524,39.00,6.00,5.13,4.26,0
2023-10-09,-1,-120.75,117.78,0.04187,45.00,-23.25,-24.12,-24.99,0
2023-10-26,-1,-145.25,114.43,0.03184,46.25,-21.25,-22.12,-22.99,0
2023-11-02,1,135.75,115.20,0.02281,46.25,25.50,24.63,23.76,0
2023-12-21,1,119.00,112.85,0.02802,37.25,-10.50,-11.37,-12.24,0
2024-01-02,-1,-195.50,114.58,0.02365,34.50,-4.75,-5.62,-6.49,0
2024-01-18,1,137.75,111.50,0.01894,33.00,12.75,11.88,11.01,0
2024-01-19,1,129.25,111.50,0.02133,33.00,-5.25,-6.12,-6.99,0
2024-01-22,1,126.00,112.85,0.02013,33.00,-9.50,-10.37,-11.24,0
2024-01-24,1,133.75,112.85,0.01475,33.00,25.00,24.13,23.26,0
2024-01-31,-1,-156.25,111.50,0.00590,33.00,-1.00,-1.87,-2.74,0
2024-02-02,1,183.50,111.50,0.00367,33.00,-9.75,-10.62,-11.49,0
2024-02-13,-1,-131.00,111.50,0.00907,35.25,-9.25,-10.12,-10.99,0
2024-02-20,-1,-113.50,112.85,0.00174,36.50,0.75,-0.12,-0.99,0
2024-02-21,-1,-124.00,113.45,0.00953,36.50,-5.00,-5.87,-6.74,0
2024-02-22,1,351.00,115.08,0.00851,37.00,2.75,1.88,1.01,0
2024-03-18,1,204.50,115.08,0.00472,38.25,20.50,19.63,18.76,0
2024-03-21,1,155.25,117.73,0.00875,39.75,29.50,28.63,27.76,0
2024-04-24,1,116.50,115.08,0.00978,45.50,12.00,11.13,10.26,0
2024-04-25,-1,-157.75,116.38,0.01529,44.50,26.75,25.88,25.01,0
2024-04-26,1,174.25,117.85,0.01955,45.50,-26.25,-27.12,-27.99,0
2024-05-02,1,139.50,118.90,0.00998,44.00,7.50,6.63,5.76,0
2024-05-23,1,194.25,117.95,0.01573,42.25,13.75,12.88,12.01,0
2024-05-29,-1,-125.75,118.90,0.01600,43.50,4.75,3.88,3.01,0
2024-07-17,-1,-312.75,120.12,0.01743,36.00,-19.50,-20.37,-21.24,0
