arm,timeframe,perParentEV_minus_baseline,triggered,topWinnersKept,coveredParents,baselinePerParentEV
ARM1_RECLAIM,15s,4.26,12,8,24,7.63
ARM2_PULLBACK_REEXPAND,15s,2.7943,19,9,24,7.63
ARM3_SWEEP_RECLAIM,15s,8.9594,9,6,24,7.63
ARM4_DETECT_CONFIRM,15s,7.8897,11,7,24,7.63
ARM5_SECOND_PUSH,15s,-10.3134,6,3,24,7.63
ARM6_V_RECOVERY,15s,8.2229,14,9,24,7.63
ARM7_COMPRESSION_RELEASE,15s,-2.7986,2,1,24,7.63
ARM8_FVG_BREAKDOWN,15s,-7.63,0,0,24,7.63
ARM1_RECLAIM,30s,-3.2811,11,6,23,9.5403
ARM2_PULLBACK_REEXPAND,30s,11.3795,15,9,23,9.5403
ARM3_SWEEP_RECLAIM,30s,-9.8139,8,4,23,9.5403
ARM4_DETECT_CONFIRM,30s,0.9714,10,6,23,9.5403
ARM5_SECOND_PUSH,30s,-12.8483,2,0,23,9.5403
ARM6_V_RECOVERY,30s,0.8777,13,7,23,9.5403
ARM7_COMPRESSION_RELEASE,30s,-9.5403,0,0,23,9.5403
ARM8_FVG_BREAKDOWN,30s,-9.5403,0,0,23,9.5403
ARM1_RECLAIM,5s,6.6552,11,7,28,6.2648
ARM2_PULLBACK_REEXPAND,5s,9.5592,23,9,28,6.2648
ARM3_SWEEP_RECLAIM,5s,9.7551,9,6,28,6.2648
ARM4_DETECT_CONFIRM,5s,-6.2648,0,0,28,6.2648
ARM5_SECOND_PUSH,5s,3.3794,10,4,28,6.2648
ARM6_V_RECOVERY,5s,2.3795,13,7,28,6.2648
ARM7_COMPRESSION_RELEASE,5s,-6.2648,0,0,28,6.2648
ARM8_FVG_BREAKDOWN,5s,-6.2648,0,0,28,6.2648
