hypothesis_id,family,direction,stop_atr15,exit,n_trades,n_days,ambiguous,gross_ev_pts,base_ev_pts,stress_ev_pts,base_evR,stress_evR,base_pf,stress_pf,wr_stress,payoff_stress,ci_lo,ci_hi,boot_p,perm_p,bh_q,matched_null_mean,incr_ok,seg_pos_frac,nseg,drop1_ev,trim_top1_ev,prelim_pass,first_fail
F01_k1.5_L10_T120,F01,1,1.0,T120,544,544,0,-1.2732,-2.1432,-2.5782,-0.1408,-0.1553,0.919,0.904,0.3015,2.094,-8.4026,3.4764,0.38640,0.04850,0.22821,-5.7747,False,0.333,15,-3.5386,-5.9527,False,G04_quality
F01_k1.5_L10_T30,F01,1,1.0,T30,544,544,0,-0.6641,-1.5341,-1.9691,-0.0826,-0.0972,0.925,0.905,0.4044,1.332,-6.3198,2.5543,0.36900,0.08559,0.34684,-5.1597,False,0.400,15,-2.5076,-4.3338,False,G04_quality
F01_k1.5_L20_T120,F01,1,2.0,T120,544,544,0,-2.9568,-3.8268,-4.2618,-0.0913,-0.0986,0.892,0.880,0.4393,1.123,-11.4362,3.2163,0.26460,0.00980,0.05736,-9.4740,False,0.333,15,-5.2253,-7.9460,False,G04_quality
F01_k1.5_L20_T30,F01,1,2.0,T30,544,544,0,-1.8186,-2.6886,-3.1236,-0.0643,-0.0715,0.884,0.867,0.4688,0.982,-8.2625,2.0968,0.23240,0.07529,0.32168,-7.2591,False,0.400,15,-3.6642,-5.4990,False,G04_quality
F01_k1.5_S10_T120,F01,-1,1.0,T120,340,340,0,-3.8112,-4.6812,-5.1162,-0.0622,-0.0760,0.835,0.821,0.3000,1.917,-12.8156,3.1603,0.20240,0.09149,0.34684,-5.7700,False,0.357,14,-6.3730,-8.5989,False,G04_quality
F01_k1.5_S10_T30,F01,-1,1.0,T30,340,340,0,-1.6962,-2.5662,-3.0012,-0.0400,-0.0538,0.870,0.850,0.4235,1.157,-8.2874,2.4444,0.26920,0.25187,0.71964,-4.1569,False,0.286,14,-2.2323,-4.4473,False,G04_quality
F01_k1.5_S20_T120,F01,-1,2.0,T120,340,340,0,0.5327,-0.3373,-0.7723,0.0031,-0.0038,0.991,0.979,0.4441,1.225,-11.7937,11.0375,0.88760,0.00110,0.00880,-7.2116,False,0.357,14,-2.7236,-6.0347,False,G04_quality
F01_k1.5_S20_T30,F01,-1,2.0,T30,340,340,0,1.1097,0.2397,-0.1953,-0.0059,-0.0128,1.012,0.990,0.4706,1.114,-7.0076,6.6942,0.96620,0.01110,0.06342,-4.9501,False,0.429,14,-1.6958,-2.7040,False,G04_quality
F01_k2.5_L10_T120,F01,1,1.0,T120,89,89,0,-10.7671,-11.6371,-12.0721,-0.4447,-0.4604,0.602,0.592,0.1685,2.920,-25.9190,5.6601,0.15720,0.84922,1.00000,-6.5136,False,0.200,10,-18.1063,-18.1063,False,G01_events
F01_k2.5_L10_T30,F01,1,1.0,T30,89,89,0,-3.0161,-3.8861,-4.3211,-0.1605,-0.1762,0.826,0.809,0.3258,1.675,-15.8714,8.5433,0.45840,0.48775,1.00000,-5.7830,False,0.400,10,-7.5570,-7.5570,False,G01_events
F01_k2.5_L20_T120,F01,1,2.0,T120,89,89,0,-8.9266,-9.7966,-10.2316,-0.1611,-0.1690,0.770,0.762,0.3371,1.498,-31.3110,14.0237,0.36220,0.53465,1.00000,-9.7904,False,0.300,10,-16.2449,-16.2449,False,G01_events
F01_k2.5_L20_T30,F01,1,2.0,T30,89,89,0,-6.0746,-6.9446,-7.3796,-0.1275,-0.1353,0.760,0.747,0.4157,1.050,-21.4651,7.7536,0.31080,0.56534,1.00000,-8.8677,False,0.300,10,-10.6504,-10.6504,False,G01_events
F01_k2.5_S10_T120,F01,-1,1.0,T120,32,32,0,-9.4799,-10.3499,-10.7849,-0.0087,-0.0194,0.769,0.761,0.2812,1.945,-49.5600,32.9138,0.60300,0.20678,0.67874,-13.2672,False,1.000,1,-24.7117,-24.7117,False,G01_events
F01_k2.5_S10_T30,F01,-1,1.0,T30,32,32,0,-10.7623,-11.6323,-12.0673,0.0147,0.0040,0.699,0.690,0.3438,1.318,-44.3496,18.4059,0.45920,0.64954,1.00000,-5.1991,True,1.000,1,-3.9513,-18.6967,False,G01_events
F01_k2.5_S20_T120,F01,-1,2.0,T120,32,32,0,41.4699,40.5999,40.1649,0.3592,0.3538,1.888,1.875,0.5000,1.875,-26.8731,113.6079,0.24660,0.00020,0.00166,-17.8338,True,1.000,1,20.3252,20.3252,False,G01_events
F01_k2.5_S20_T30,F01,-1,2.0,T30,32,32,0,7.5167,6.6467,6.2117,0.0639,0.0585,1.167,1.155,0.4688,1.309,-44.6744,56.7508,0.79800,0.08409,0.34684,-7.2335,True,1.000,1,22.5879,-9.9893,False,G01_events
F02_k1.5_L10_T120,F02,1,1.0,T120,340,340,0,-1.6795,-2.5495,-2.9845,-0.0593,-0.0732,0.906,0.891,0.3412,1.721,-10.9738,6.0286,0.45600,0.99760,1.00000,4.6267,True,0.429,14,-5.2114,-7.5061,False,G04_quality
F02_k1.5_L10_T30,F02,1,1.0,T30,340,340,0,-1.7276,-2.5976,-3.0326,-0.0577,-0.0715,0.867,0.847,0.4529,1.023,-8.5838,2.9425,0.31320,0.99060,1.00000,2.1835,True,0.286,14,-4.4610,-5.6555,False,G04_quality
F02_k1.5_L20_T120,F02,1,2.0,T120,340,340,0,1.1366,0.2666,-0.1684,0.0157,0.0088,1.008,0.995,0.4824,1.068,-10.2447,10.5312,0.95820,0.99610,1.00000,5.9889,True,0.357,14,-2.3871,-4.6650,False,G04_quality
F02_k1.5_L20_T30,F02,1,2.0,T30,340,340,0,-3.0402,-3.9102,-4.3452,-0.0406,-0.0476,0.824,0.807,0.5000,0.807,-11.3575,2.7402,0.21000,0.99920,1.00000,2.5532,True,0.286,14,-2.8064,-6.9799,False,G04_quality
