predictor,outcome,n,spearman,perm_p,resid_spearman,retention,shift1,shift5,randpair_absmean,bh_q
p_on_ret,o_0930_1000,1759,0.0115,0.6417,0.0130,1.1334,0.0110,-0.0074,0.0183,0.9275
p_on_ret,o_0930_1130,1759,0.0143,0.6017,0.0172,1.2028,0.0027,-0.0126,0.0211,0.9169
p_on_ret,o_open_close,1759,0.0282,0.2699,0.0207,0.7339,-0.0012,-0.0170,0.0215,0.6679
p_on_ret,o_or15_break,1759,0.0398,0.2859,-0.0393,-0.9885,0.0614,0.0506,0.0311,0.6679
p_gap,o_0930_1000,1759,-0.0045,0.8416,-0.0169,3.7921,0.0188,-0.0056,0.0179,0.9687
p_gap,o_0930_1130,1759,0.0021,0.9540,-0.0113,-5.3609,0.0065,-0.0199,0.0204,0.9765
p_gap,o_open_close,1759,0.0204,0.4523,0.0046,0.2259,0.0053,-0.0221,0.0196,0.7548
p_gap,o_or15_break,1759,0.0378,0.2714,-0.0865,-2.2894,0.0721,0.0520,0.0330,0.6679
p_on_rng,o_0930_1000,1759,0.0217,0.3348,0.0220,1.0093,-0.0016,-0.0151,0.0192,0.6679
p_on_rng,o_0930_1130,1759,-0.0340,0.1424,-0.0406,1.1948,-0.0066,0.0075,0.0186,0.5722
p_on_rng,o_open_close,1759,-0.0403,0.0705,-0.0515,1.2792,-0.0250,0.0090,0.0189,0.5722
p_on_rng,o_or15_break,1759,0.0684,0.1144,0.0506,0.7393,0.0826,0.0334,0.0507,0.5722
p_pm_ret,o_0930_1000,1759,-0.0045,0.8476,-0.0096,2.1403,0.0485,0.0282,0.0214,0.9687
p_pm_ret,o_0930_1130,1759,0.0066,0.8091,-0.0007,-0.1136,0.0423,0.0028,0.0173,0.9687
p_pm_ret,o_open_close,1759,0.0213,0.3393,0.0089,0.4191,0.0383,-0.0132,0.0176,0.6679
p_pm_ret,o_or15_break,1759,-0.0013,0.9540,-0.0521,38.9692,0.0412,0.0634,0.0227,0.9765
p_latepm_ret,o_0930_1000,1759,-0.0045,0.8286,-0.0096,2.1403,0.0485,0.0282,0.0183,0.9687
p_latepm_ret,o_0930_1130,1759,0.0066,0.8116,-0.0007,-0.1136,0.0423,0.0028,0.0195,0.9687
p_latepm_ret,o_open_close,1759,0.0213,0.3548,0.0089,0.4191,0.0383,-0.0132,0.0193,0.6679
p_latepm_ret,o_or15_break,1759,-0.0013,0.9635,-0.0521,38.9692,0.0412,0.0634,0.0242,0.9765
p_pos_in_on,o_0930_1000,1759,-0.0005,0.9765,-0.0162,30.3177,0.0268,-0.0041,0.0211,0.9765
p_pos_in_on,o_0930_1130,1759,0.0110,0.6667,-0.0030,-0.2735,0.0314,-0.0211,0.0219,0.9275
p_pos_in_on,o_open_close,1759,0.0347,0.1444,0.0144,0.4146,0.0209,-0.0202,0.0192,0.5722
p_pos_in_on,o_or15_break,1759,0.0279,0.4663,-0.0939,-3.3661,0.0577,0.0647,0.0324,0.7548
p_relvol,o_0930_1000,1739,-0.0533,0.0195,-0.0463,0.8681,0.0031,-0.0308,0.0176,0.4398
p_relvol,o_0930_1130,1739,-0.0167,0.4718,-0.0006,0.0362,0.0229,0.0101,0.0189,0.7548
p_relvol,o_open_close,1739,-0.0326,0.1609,-0.0098,0.2998,0.0194,-0.0114,0.0210,0.5722
p_relvol,o_or15_break,1739,-0.0297,0.1804,0.0137,-0.4603,0.0047,-0.0339,0.0191,0.5773
p_extreme_time,o_0930_1000,1759,-0.0212,0.3183,-0.0099,0.4680,0.0291,-0.0111,0.0188,0.6679
p_extreme_time,o_0930_1130,1759,-0.0513,0.0275,-0.0411,0.8012,0.0099,-0.0156,0.0177,0.4398
p_extreme_time,o_open_close,1759,-0.0414,0.1069,-0.0321,0.7770,-0.0033,-0.0129,0.0184,0.5722
p_extreme_time,o_or15_break,1759,-0.0604,0.1094,0.0164,-0.2710,-0.0275,-0.0366,0.0412,0.5722
