key,n,days,ev_stress,wr,pf,ci_lo,ci_hi,p,bh_q,note
S30A_n4_t0.5_s10_e10,94,94,0.6352,0.5000,1.0275,-9.9925,11.8399,0.9200,0.9756,
S30A_n4_t0.5_s10_e30,94,94,10.4769,0.4255,1.3343,-5.7066,27.6990,0.2260,0.5650,
S30A_n4_t0.5_s20_e10,94,94,-2.1348,0.5106,0.9174,-14.6241,9.9955,0.7356,0.9756,
S30A_n4_t0.5_s20_e30,94,94,18.5673,0.5745,1.5934,-0.8795,37.7216,0.0632,0.2528,
S30A_n4_t1.0_s10_e10,20,20,0.0762,0.5000,1.0038,-21.9175,22.6950,0.9756,0.9756,
S30A_n4_t1.0_s10_e30,20,20,26.2450,0.5000,1.9482,-11.2925,64.3075,0.1864,0.5326,
S30A_n4_t1.0_s20_e10,20,20,-1.1425,0.5000,0.9468,-24.9425,22.5825,0.9080,0.9756,
S30A_n4_t1.0_s20_e30,20,20,42.8575,0.6500,3.1262,6.9575,79.3575,0.0172,0.1720,
S30A_n10_t0.5_s10_e10,97,97,5.2014,0.5155,1.2468,-6.5015,17.1123,0.3808,0.7912,
S30A_n10_t0.5_s10_e30,97,97,14.9899,0.5361,1.5093,-2.9730,32.6395,0.0952,0.3173,
S30A_n10_t0.5_s20_e10,97,97,5.5045,0.5155,1.2650,-7.0836,17.9316,0.3956,0.7912,
S30A_n10_t0.5_s20_e30,97,97,19.1742,0.5876,1.7108,0.8715,37.9953,0.0400,0.2000,
S30A_n10_t1.0_s10_e10,28,28,3.9960,0.5357,1.2146,-14.7224,22.9922,0.6868,0.9756,
S30A_n10_t1.0_s10_e30,28,28,35.5020,0.6429,2.5330,3.7717,68.5031,0.0288,0.1920,
S30A_n10_t1.0_s20_e10,28,28,3.6414,0.5357,1.1919,-15.1086,22.1682,0.7140,0.9756,
S30A_n10_t1.0_s20_e30,28,28,48.9879,0.7500,4.2432,18.4845,78.8718,0.0020,0.0400,
S30B_c0.00_s10_e10,191,191,-0.9949,0.5183,0.9558,-8.7054,6.8700,0.8152,0.9756,
S30B_c0.00_s20_e30,191,191,-0.2418,0.5183,0.9927,-12.8043,11.9614,0.9376,0.9756,
S30B_c0.25_s10_e10,186,186,1.7342,0.5645,1.0893,-5.6199,9.2125,0.6348,0.9756,
S30B_c0.25_s20_e30,186,186,-2.1164,0.5323,0.9354,-14.4837,10.0697,0.7316,0.9756,
