family,horizon,n,mean_pts,p,bh_q
F01,1,884,-1.8009,0.0095,0.1782
F01,3,884,-1.5891,0.0900,0.5520
F01,5,884,-1.5274,0.1850,0.6970
F01,10,884,-0.8119,0.5295,0.8838
F01,15,884,-0.9760,0.5590,0.8878
F01,30,884,-1.6041,0.4920,0.8838
F01,60,884,-4.8510,0.0920,0.5520
F01,120,884,-4.7938,0.2055,0.7275
F01,CLOSE,873,-5.6289,0.2040,0.7275
F02,1,884,1.8009,0.0110,0.1782
F02,3,884,1.5891,0.0775,0.5400
F02,5,884,1.5274,0.1720,0.6970
F02,10,884,0.8119,0.5510,0.8838
F02,15,884,0.9760,0.5510,0.8838
F02,30,884,1.6041,0.5210,0.8838
F02,60,884,4.8510,0.0855,0.5520
F02,120,884,4.7938,0.2115,0.7275
F02,CLOSE,873,5.6289,0.2305,0.7275
F03,1,188,0.4774,0.5390,0.8838
F03,3,188,0.7926,0.4880,0.8838
F03,5,188,1.0745,0.4185,0.8814
F03,10,188,2.2553,0.1850,0.6970
F03,15,188,2.2553,0.2420,0.7275
F03,30,188,0.6556,0.8335,1.0000
F03,60,188,-0.5931,0.8790,1.0000
F03,120,188,-2.3723,0.6745,0.9670
F03,CLOSE,141,-0.4858,0.9620,1.0000
F04,1,816,-0.2871,0.6530,0.9561
F04,3,816,-1.0827,0.1595,0.6928
F04,5,816,0.3845,0.6555,0.9561
F04,10,816,-0.6449,0.5505,0.8838
F04,15,816,-0.4164,0.7430,0.9873
F04,30,816,-1.4338,0.4130,0.8814
F04,60,816,-3.5999,0.1625,0.6928
F04,120,816,-5.4969,0.1250,0.5956
F04,CLOSE,806,-2.8908,0.4915,0.8838
F06,1,1381,1.4714,0.0105,0.1782
F06,3,1381,1.7960,0.0065,0.1782
F06,5,1381,0.6465,0.4075,0.8814
F06,10,1381,0.4294,0.6365,0.9547
F06,15,1381,-0.2100,0.8860,1.0000
F06,30,1381,-0.6946,0.6610,0.9561
F06,60,1381,-2.4471,0.2425,0.7275
F06,120,1381,-1.3224,0.6190,0.9372
F06,CLOSE,1345,3.2853,0.3765,0.8814
F07,1,1796,-0.4027,0.3465,0.8723
F07,3,1796,-0.3238,0.5745,0.9036
F07,5,1796,-0.1640,0.8330,1.0000
F07,10,1796,-0.4372,0.6095,0.9315
F07,15,1796,-0.4443,0.6940,0.9862
F07,30,1796,-0.9802,0.4495,0.8814
F07,60,1796,-2.0695,0.2315,0.7275
F07,120,1796,-3.6318,0.1225,0.5956
F07,CLOSE,1769,-5.6634,0.0550,0.4950
F08,1,1575,0.7927,0.0075,0.1782
F08,3,1575,1.2748,0.0002,0.0202
F08,5,1575,1.2786,0.0080,0.1782
F08,10,1575,1.4679,0.0270,0.3365
F08,15,1575,0.9378,0.2820,0.7798
F08,30,1575,1.2362,0.2840,0.7798
