cand,day,entry_et,dir,signal,extra
C-F12-1,2025-08-19,2025-08-19 09:31:00,-1,-0.0103759,twin=-1 div=0
C-F12-1,2025-08-20,2025-08-20 09:31:00,-1,-0.0123879,twin=-1 div=0
C-F12-1,2025-08-21,2025-08-21 09:31:00,-1,-0.0135437,twin=-1 div=0
C-F12-1,2025-08-22,2025-08-22 09:31:00,-1,-0.00548386,twin=1 div=1
C-F12-1,2025-08-25,2025-08-25 09:31:00,-1,-0.00946533,twin=-1 div=0
C-F12-1,2025-08-26,2025-08-26 09:31:00,-1,-0.0122548,twin=-1 div=0
C-F12-1,2025-08-27,2025-08-27 09:31:00,-1,-0.00736199,twin=-1 div=0
C-F12-1,2025-08-28,2025-08-28 09:31:00,1,0.00238578,twin=1 div=0
C-F12-1,2025-08-29,2025-08-29 09:31:00,-1,-0.0153698,twin=-1 div=0
C-F12-1,2025-09-01,2025-09-01 09:31:00,-1,-0.0125357,twin=-1 div=0
C-F12-1,2025-09-02,2025-09-02 09:31:00,-1,-0.0288723,twin=-1 div=0
C-F12-1,2025-09-03,2025-09-03 09:31:00,1,0.00248343,twin=1 div=0
C-F12-1,2025-09-04,2025-09-04 09:31:00,1,0.00281232,twin=1 div=0
C-F12-1,2025-09-05,2025-09-05 09:31:00,1,0.0178306,twin=1 div=0
C-F12-1,2025-09-08,2025-09-08 09:31:00,1,0.0103661,twin=1 div=0
C-F12-1,2025-09-09,2025-09-09 09:31:00,1,7.07114e-05,twin=1 div=0
C-F12-1,2025-09-10,2025-09-10 09:31:00,1,0.0125026,twin=1 div=0
C-F12-1,2025-09-11,2025-09-11 09:31:00,1,0.0112835,twin=1 div=0
C-F12-1,2025-09-12,2025-09-12 09:31:00,1,0.0122238,twin=1 div=0
C-F12-1,2025-09-15,2025-09-15 09:31:00,-1,-0.0039439,twin=1 div=1
C-F12-1,2025-09-16,2025-09-16 09:31:00,-1,-0.0049395,twin=1 div=1
C-F12-1,2025-09-17,2025-09-17 09:31:00,-1,-0.0234426,twin=-1 div=0
C-F12-1,2025-09-18,2025-09-18 09:31:00,1,0.0139417,twin=1 div=0
C-F12-1,2025-09-19,2025-09-19 09:31:00,-1,-0.000117401,twin=1 div=1
C-F12-1,2025-09-22,2025-09-22 09:31:00,-1,-0.0223265,twin=-1 div=0
C-F12-1,2025-09-23,2025-09-23 09:31:00,-1,-0.00136064,twin=1 div=1
C-F12-1,2025-09-24,2025-09-24 09:31:00,1,0.00412345,twin=1 div=0
C-F12-1,2025-09-25,2025-09-25 09:31:00,-1,-0.0254261,twin=-1 div=0
C-F12-1,2025-09-26,2025-09-26 09:31:00,-1,-0.00403073,twin=1 div=1
C-F12-1,2025-09-29,2025-09-29 09:31:00,1,0.0229411,twin=1 div=0
C-F12-1,2025-09-30,2025-09-30 09:31:00,1,0.0104705,twin=1 div=0
C-F12-1,2025-10-01,2025-10-01 09:31:00,-1,-0.00723588,twin=-1 div=0
C-F12-1,2025-10-02,2025-10-02 09:31:00,1,0.0280234,twin=1 div=0
C-F12-1,2025-10-03,2025-10-03 09:31:00,1,0.00128336,twin=1 div=0
C-F12-1,2025-10-06,2025-10-06 09:31:00,1,0.0244824,twin=1 div=0
