cand,day,entry_et,dir,signal,stop_pts,gross_pts,base_pts,stressed_pts,exit_kind
C-F12-1,2025-08-19,2025-08-19 09:31:00,-1,-0.0103759,7.4062,-7.41,-8.28,-8.71,STOP
C-F12-1,2025-08-20,2025-08-20 09:31:00,-1,-0.0123879,10.5000,251.50,250.63,250.19,TIME
C-F12-1,2025-08-21,2025-08-21 09:31:00,-1,-0.0135437,12.8813,-12.88,-13.75,-14.19,STOP
C-F12-1,2025-08-22,2025-08-22 09:31:00,-1,-0.00548386,9.1313,-9.13,-10.00,-10.44,STOP
C-F12-1,2025-08-25,2025-08-25 09:31:00,-1,-0.00946533,7.7812,-7.78,-8.65,-9.09,STOP
C-F12-1,2025-08-26,2025-08-26 09:31:00,-1,-0.0122548,6.1313,-6.13,-7.00,-7.44,STOP
C-F12-1,2025-08-27,2025-08-27 09:31:00,-1,-0.00736199,10.4250,-10.42,-11.29,-11.73,STOP
C-F12-1,2025-08-28,2025-08-28 09:31:00,1,0.00238578,7.7812,-7.78,-8.65,-9.09,STOP
C-F12-1,2025-08-29,2025-08-29 09:31:00,-1,-0.0153698,10.4625,-10.46,-11.33,-11.77,STOP
C-F12-1,2025-09-01,2025-09-01 09:31:00,-1,-0.0125357,5.0813,-5.08,-5.95,-6.39,STOP
C-F12-1,2025-09-02,2025-09-02 09:31:00,-1,-0.0288723,15.3750,-15.38,-16.25,-16.68,STOP
C-F12-1,2025-09-03,2025-09-03 09:31:00,1,0.00248343,10.7063,-10.71,-11.58,-12.01,STOP
C-F12-1,2025-09-04,2025-09-04 09:31:00,1,0.00281232,9.2812,-9.28,-10.15,-10.59,STOP
C-F12-1,2025-09-05,2025-09-05 09:31:00,1,0.0178306,15.1500,-15.15,-16.02,-16.46,STOP
C-F12-1,2025-09-08,2025-09-08 09:31:00,1,0.0103661,9.2812,-9.28,-10.15,-10.59,STOP
C-F12-1,2025-09-09,2025-09-09 09:31:00,1,7.07114e-05,10.4250,-10.42,-11.29,-11.73,STOP
C-F12-1,2025-09-10,2025-09-10 09:31:00,1,0.0125026,9.9937,-9.99,-10.86,-11.30,STOP
C-F12-1,2025-09-11,2025-09-11 09:31:00,1,0.0112835,11.1938,-11.19,-12.06,-12.50,STOP
C-F12-1,2025-09-12,2025-09-12 09:31:00,1,0.0122238,5.7750,-5.78,-6.65,-7.08,STOP
C-F12-1,2025-09-15,2025-09-15 09:31:00,-1,-0.0039439,7.3687,-7.37,-8.24,-8.67,STOP
C-F12-1,2025-09-16,2025-09-16 09:31:00,-1,-0.0049395,8.6625,-8.66,-9.53,-9.97,STOP
C-F12-1,2025-09-17,2025-09-17 09:31:00,-1,-0.0234426,6.9375,-6.94,-7.81,-8.24,STOP
C-F12-1,2025-09-18,2025-09-18 09:31:00,1,0.0139417,13.0688,-13.07,-13.94,-14.37,STOP
C-F12-1,2025-09-19,2025-09-19 09:31:00,-1,-0.000117401,11.0625,-11.06,-11.93,-12.37,STOP
C-F12-1,2025-09-22,2025-09-22 09:31:00,-1,-0.0223265,7.3125,-7.31,-8.18,-8.62,STOP
C-F12-1,2025-09-23,2025-09-23 09:31:00,-1,-0.00136064,6.5063,-6.51,-7.38,-7.81,STOP
C-F12-1,2025-09-24,2025-09-24 09:31:00,1,0.00412345,6.6750,-6.67,-7.54,-7.98,STOP
C-F12-1,2025-09-25,2025-09-25 09:31:00,-1,-0.0254261,15.1313,124.00,123.13,122.69,TIME
C-F12-1,2025-09-26,2025-09-26 09:31:00,-1,-0.00403073,12.7125,-12.71,-13.58,-14.02,STOP
C-F12-1,2025-09-29,2025-09-29 09:31:00,1,0.0229411,9.5437,90.50,89.63,89.19,TIME
C-F12-1,2025-09-30,2025-09-30 09:31:00,1,0.0104705,8.9250,-8.92,-9.79,-10.23,STOP
C-F12-1,2025-10-01,2025-10-01 09:31:00,-1,-0.00723588,9.4125,-9.41,-10.28,-10.72,STOP
C-F12-1,2025-10-02,2025-10-02 09:31:00,1,0.0280234,6.6000,-6.60,-7.47,-7.90,STOP
C-F12-1,2025-10-03,2025-10-03 09:31:00,1,0.00128336,8.2500,-8.25,-9.12,-9.55,STOP
C-F12-1,2025-10-06,2025-10-06 09:31:00,1,0.0244824,9.8062,-9.81,-10.68,-11.11,STOP
C-F12-1,2025-10-07,2025-10-07 09:31:00,1,0.0117364,9.4125,-9.41,-10.28,-10.72,STOP
C-F12-1,2025-10-08,2025-10-08 09:31:00,-1,-0.00773942,8.3250,-8.33,-9.20,-9.63,STOP
C-F12-1,2025-10-09,2025-10-09 09:31:00,1,0.000254514,8.2688,-8.27,-9.14,-9.57,STOP
C-F12-1,2025-10-10,2025-10-10 09:31:00,-1,-0.00875484,8.7750,-8.78,-9.65,-10.08,STOP
C-F12-1,2025-10-13,2025-10-13 09:31:00,1,0.00835507,20.4375,-20.44,-21.31,-21.74,STOP
C-F12-1,2025-10-14,2025-10-14 09:31:00,-1,-0.00964988,18.9562,62.75,61.88,61.45,TIME
C-F12-1,2025-10-15,2025-10-15 09:31:00,1,0.0197241,11.2500,-11.25,-12.12,-12.55,STOP
C-F12-1,2025-10-16,2025-10-16 09:31:00,1,0.000871625,11.6250,-11.62,-12.49,-12.93,STOP
C-F12-1,2025-10-17,2025-10-17 09:31:00,-1,-0.00511573,23.6437,-23.64,-24.51,-24.95,STOP
C-F12-1,2025-10-20,2025-10-20 09:31:00,1,0.00628742,10.1812,104.00,103.13,102.69,TIME
C-F12-1,2025-10-21,2025-10-21 09:31:00,1,0.00337779,11.6812,-11.68,-12.55,-12.99,STOP
C-F12-1,2025-10-22,2025-10-22 09:31:00,-1,-0.0113468,8.1938,-8.19,-9.06,-9.50,STOP
C-F12-1,2025-10-23,2025-10-23 09:31:00,-1,-0.00433308,13.6500,-13.65,-14.52,-14.96,STOP
C-F12-1,2025-10-24,2025-10-24 09:31:00,1,0.0201337,11.4563,-11.46,-12.33,-12.76,STOP
C-F12-1,2025-10-27,2025-10-27 09:31:00,1,0.0148657,9.9000,-9.90,-10.77,-11.21,STOP
C-F12-1,2025-10-28,2025-10-28 09:31:00,1,0.00406896,9.8438,-9.84,-10.71,-11.15,STOP
C-F12-1,2025-10-29,2025-10-29 09:31:00,1,0.0171548,8.5125,-8.51,-9.38,-9.82,STOP
C-F12-1,2025-10-30,2025-10-30 09:31:00,-1,-0.0128933,19.1625,-19.16,-20.03,-20.47,STOP
C-F12-1,2025-10-31,2025-10-31 09:31:00,1,0.00538092,12.1500,-12.15,-13.02,-13.46,STOP
C-F12-1,2025-11-03,2025-11-03 09:31:00,1,0.0200293,11.4563,-11.46,-12.33,-12.76,STOP
C-F12-1,2025-11-04,2025-11-04 09:31:00,-1,-0.0202385,18.0750,-18.08,-18.95,-19.38,STOP
C-F12-1,2025-11-05,2025-11-05 09:31:00,1,0.00345431,15.6562,-15.66,-16.53,-16.96,STOP
C-F12-1,2025-11-06,2025-11-06 09:31:00,-1,-0.00148237,17.0063,160.50,159.63,159.19,TIME
C-F12-1,2025-11-07,2025-11-07 09:31:00,-1,-0.0114818,19.8375,103.75,102.88,102.44,TIME
C-F12-1,2025-11-10,2025-11-10 09:31:00,1,0.000598032,13.9875,-13.99,-14.86,-15.29,STOP
C-F12-1,2025-11-11,2025-11-11 09:31:00,-1,-0.0125547,10.8750,-10.88,-11.74,-12.18,STOP
C-F12-1,2025-11-12,2025-11-12 09:31:00,1,0.0165687,8.5500,-8.55,-9.42,-9.85,STOP
C-F12-1,2025-11-13,2025-11-13 09:31:00,-1,-0.0119275,21.3375,-21.34,-22.21,-22.64,STOP
C-F12-1,2025-11-14,2025-11-14 09:31:00,-1,-0.014751,22.1250,-22.12,-23.00,-23.43,STOP
C-F12-1,2025-11-17,2025-11-17 09:31:00,-1,-0.00398796,18.9562,-18.96,-19.83,-20.26,STOP
C-F12-1,2025-11-18,2025-11-18 09:31:00,-1,-0.00567646,23.6063,-23.61,-24.48,-24.91,STOP
C-F12-1,2025-11-19,2025-11-19 09:31:00,1,1.12577e-05,18.8625,-18.86,-19.73,-20.17,STOP
C-F12-1,2025-11-20,2025-11-20 09:31:00,1,0.00133152,20.3813,-20.38,-21.25,-21.69,STOP
C-F12-1,2025-11-21,2025-11-21 09:31:00,-1,-0.00902118,24.4313,-24.43,-25.30,-25.74,STOP
C-F12-1,2025-11-24,2025-11-24 09:31:00,-1,-0.00603659,16.3500,-16.35,-17.22,-17.65,STOP
C-F12-1,2025-11-25,2025-11-25 09:31:00,-1,-0.00850149,14.8125,-14.81,-15.68,-16.12,STOP
C-F12-1,2025-11-26,2025-11-26 09:31:00,1,0.00465525,16.8000,-16.80,-17.67,-18.10,STOP
C-F12-1,2025-11-27,2025-11-27 09:31:00,1,0.00237195,6.5063,-6.51,-7.38,-7.81,STOP
C-F12-1,2025-12-01,2025-12-01 09:31:00,-1,-0.0147839,14.6063,-14.61,-15.48,-15.91,STOP
C-F12-1,2025-12-02,2025-12-02 09:31:00,1,0.0107128,9.7875,-9.79,-10.66,-11.09,STOP
C-F12-1,2025-12-03,2025-12-03 09:31:00,1,0.000407829,33.0563,-33.06,-33.93,-34.36,STOP
C-F12-1,2025-12-04,2025-12-04 09:31:00,-1,-0.00348699,13.9312,156.50,155.63,155.19,TIME
C-F12-1,2025-12-05,2025-12-05 09:31:00,-1,-0.00492617,11.1000,-11.10,-11.97,-12.40,STOP
C-F12-1,2025-12-08,2025-12-08 09:31:00,1,0.0160775,12.1313,-12.13,-13.00,-13.44,STOP
C-F12-1,2025-12-09,2025-12-09 09:31:00,-1,-0.022405,13.8937,-13.89,-14.76,-15.20,STOP
C-F12-1,2025-12-10,2025-12-10 09:31:00,-1,-0.000977263,10.6875,-10.69,-11.56,-11.99,STOP
C-F12-1,2025-12-11,2025-12-11 09:31:00,-1,-0.01482,12.3188,229.50,228.63,228.19,TIME
C-F12-1,2025-12-12,2025-12-12 09:31:00,-1,-0.00222414,16.4438,-16.44,-17.31,-17.75,STOP
C-F12-1,2025-12-15,2025-12-15 09:31:00,1,0.0115954,11.4750,-11.47,-12.34,-12.78,STOP
C-F12-1,2025-12-16,2025-12-16 09:31:00,-1,-0.00979331,19.1812,-19.18,-20.05,-20.49,STOP
C-F12-1,2025-12-17,2025-12-17 09:31:00,1,0.00263954,15.3937,-15.39,-16.26,-16.70,STOP
C-F12-1,2025-12-18,2025-12-18 09:31:00,1,0.0108599,15.8813,-15.88,-16.75,-17.19,STOP
C-F12-1,2025-12-19,2025-12-19 09:31:00,-1,-0.00138541,20.7375,-20.74,-21.61,-22.04,STOP
C-F12-1,2025-12-22,2025-12-22 09:31:00,1,0.0298077,8.7000,-8.70,-9.57,-10.01,STOP
