day,P0,P5,M,thr90_lagged,stop_scale60,sig_range,warm,qualified
2019-07-05,11188.00,11190.25,2.25,warmup,warmup,14.50,0,0
2019-07-08,11176.50,11162.50,-14.00,warmup,warmup,19.75,0,0
2019-07-09,11129.75,11143.75,14.00,warmup,warmup,23.25,0,0
2019-07-10,11253.25,11269.00,15.75,warmup,warmup,30.50,0,0
2019-07-11,11298.50,11301.75,3.25,warmup,warmup,15.00,0,0
2019-07-12,11285.75,11291.00,5.25,warmup,warmup,12.75,0,0
2019-07-15,11342.25,11333.50,-8.75,warmup,warmup,13.00,0,0
2019-07-16,11336.75,11338.75,2.00,warmup,warmup,12.75,0,0
2019-07-17,11308.50,11312.75,4.25,warmup,warmup,10.25,0,0
2019-07-18,11229.50,11244.75,15.25,warmup,warmup,22.25,0,0
2019-07-19,11333.00,11318.25,-14.75,warmup,warmup,19.50,0,0
2019-07-22,11236.25,11242.25,6.00,warmup,warmup,14.00,0,0
2019-07-23,11320.50,11311.25,-9.25,warmup,warmup,11.75,0,0
2019-07-24,11298.75,11311.75,13.00,warmup,warmup,16.25,0,0
2019-07-25,11356.50,11350.00,-6.50,warmup,warmup,14.50,0,0
2019-07-26,11356.50,11377.25,20.75,warmup,warmup,28.50,0,0
2019-07-29,11383.25,11366.50,-16.75,warmup,warmup,18.75,0,0
2019-07-30,11298.75,11306.75,8.00,warmup,warmup,19.50,0,0
2019-07-31,11346.25,11331.25,-15.00,warmup,warmup,22.00,0,0
2019-08-01,11230.00,11268.75,38.75,warmup,warmup,45.75,0,0
2019-08-02,11117.25,11100.50,-16.75,warmup,warmup,32.25,0,0
2019-08-05,10898.25,10883.50,-14.75,warmup,warmup,26.50,0,0
2019-08-06,10849.75,10876.50,26.75,warmup,warmup,38.75,0,0
2019-08-07,10805.25,10786.25,-19.00,warmup,warmup,42.00,0,0
2019-08-08,10960.25,10950.50,-9.75,warmup,warmup,25.50,0,0
2019-08-09,11051.00,11067.50,16.50,warmup,warmup,19.50,0,0
2019-08-12,10970.00,10952.50,-17.50,warmup,warmup,35.50,0,0
2019-08-13,10925.50,10927.50,2.00,warmup,warmup,16.25,0,0
2019-08-14,10966.50,10976.25,9.75,warmup,warmup,35.75,0,0
2019-08-15,10874.75,10878.50,3.75,warmup,warmup,43.50,0,0
2019-08-16,10914.75,10934.75,20.00,warmup,warmup,24.25,0,0
2019-08-19,11075.75,11089.25,13.50,warmup,warmup,15.75,0,0
2019-08-20,11074.75,11057.00,-17.75,warmup,warmup,26.00,0,0
2019-08-21,11101.00,11095.25,-5.75,warmup,warmup,18.25,0,0
2019-08-22,11112.25,11117.75,5.50,warmup,warmup,16.25,0,0
2019-08-23,11022.00,11026.00,4.00,warmup,warmup,17.75,0,0
2019-08-26,10914.50,10910.50,-4.00,warmup,warmup,23.75,0,0
2019-08-27,10992.50,10988.50,-4.00,warmup,warmup,18.50,0,0
2019-08-28,10900.25,10876.25,-24.00,warmup,warmup,39.50,0,0
2019-08-29,11044.75,11069.75,25.00,warmup,warmup,33.75,0,0
2019-08-30,11108.25,11100.50,-7.75,warmup,15.25,16.00,0,0
2019-09-02,11020.75,11011.25,-9.50,warmup,14.75,12.75,0,0
2019-09-03,10997.25,11005.75,8.50,warmup,14.75,22.50,0,0
2019-09-04,11043.75,11046.75,3.00,warmup,14.75,11.50,0,0
2019-09-05,11166.00,11176.75,10.75,warmup,14.75,20.00,0,0
2019-09-06,11232.75,11212.75,-20.00,warmup,14.75,23.00,0,0
2019-09-09,11237.75,11228.75,-9.00,warmup,14.75,15.00,0,0
2019-09-10,11155.25,11138.00,-17.25,warmup,14.75,25.25,0,0
2019-09-11,11187.25,11181.50,-5.75,warmup,14.50,19.00,0,0
2019-09-12,11287.00,11305.25,18.25,warmup,14.75,28.50,0,0
2019-09-13,11265.75,11246.75,-19.00,warmup,14.75,25.75,0,0
2019-09-16,11199.25,11204.00,4.75,warmup,14.75,21.75,0,0
2019-09-17,11215.50,11213.75,-1.75,warmup,14.75,13.25,0,0
2019-09-18,11237.50,11228.50,-9.00,warmup,14.75,13.50,0,0
2019-09-19,11261.00,11281.75,20.75,warmup,14.75,25.75,0,0
2019-09-20,11271.00,11266.00,-5.00,warmup,14.75,11.00,0,0
2019-09-23,11170.00,11162.25,-7.75,warmup,14.75,21.25,0,0
2019-09-24,11213.25,11208.00,-5.25,warmup,14.75,14.75,0,0
2019-09-25,11063.75,11070.75,7.00,warmup,14.75,18.75,0,0
2019-09-26,11150.00,11125.75,-24.25,warmup,14.75,27.00,0,0
