day,dir,P0,P5,M_pts,thr90,stop_pts,entry,exit,gross,net_base,net_stress,stopped
2020-01-03,1,12086.50,12140.00,53.50,19.30,18.00,12140.25,12137.75,-2.50,-3.37,-4.50,0
2020-01-06,1,12054.75,12078.75,24.00,20.00,18.00,12079.25,12081.25,2.00,1.13,0.00,0
2020-01-23,-1,12509.00,12480.75,-28.25,20.00,19.25,12480.75,12485.25,-4.50,-5.37,-6.50,0
2020-01-30,1,12367.25,12405.75,38.50,20.00,19.50,12406.00,12427.00,21.00,20.13,19.00,0
2020-01-31,-1,12497.50,12466.50,-31.00,20.23,19.50,12466.00,12463.50,2.50,1.63,0.50,0
2020-02-03,1,12357.25,12385.25,28.00,20.75,19.50,12385.25,12404.00,18.75,17.88,16.75,0
2020-02-05,-1,12772.75,12745.00,-27.75,20.75,19.50,12744.75,12713.75,31.00,30.13,29.00,0
2020-02-07,-1,12727.00,12706.00,-21.00,20.75,21.50,12706.00,12714.75,-8.75,-9.62,-10.75,0
2020-02-10,1,12695.75,12730.50,34.75,20.93,21.75,12731.25,12741.00,9.75,8.88,7.75,0
2020-02-11,-1,12892.50,12869.25,-23.25,21.30,21.75,12868.75,12859.75,9.00,8.13,7.00,0
2020-02-18,1,12899.50,12924.75,25.25,21.67,22.50,12925.25,12916.25,-9.00,-9.87,-11.00,0
2020-02-24,1,12418.00,12450.25,32.25,22.73,25.75,12451.00,12480.00,29.00,28.13,27.00,0
2020-02-28,1,11477.50,11590.75,113.25,23.40,27.75,11590.75,11608.75,18.00,17.13,16.00,0
2020-03-02,-1,11879.75,11848.50,-31.25,23.80,27.75,11846.50,11807.75,38.75,37.88,36.75,0
2020-03-03,-1,12217.25,12167.00,-50.25,24.00,28.75,12167.00,12141.00,26.00,25.13,24.00,0
2020-03-05,1,12032.50,12076.25,43.75,24.00,30.00,12076.75,12084.50,7.75,6.88,5.75,0
2020-03-06,1,11700.50,11738.50,38.00,24.20,30.00,11738.25,11764.50,26.25,25.38,24.25,0
2020-03-11,1,11479.50,11515.50,36.00,24.70,30.25,11514.75,11476.00,-30.25,-31.12,-32.25,1
2020-03-18,1,10266.00,10446.25,180.25,25.08,33.00,10445.75,10427.50,-33.00,-33.87,-35.00,1
