cell,day,side,kind,R_pts,gross,stressed
C1,2019-11-07,1,STOP,23.02,-23.03,-24.33
C1,2019-11-15,-1,TIME,21.38,-8.44,-9.74
C1,2019-11-18,-1,STOP,21.38,-21.38,-22.68
C1,2019-11-19,-1,TIME,21.38,6.06,4.76
C1,2019-11-21,-1,TIME,21.00,11.50,10.20
C1,2019-12-03,-1,STOP,20.93,-20.92,-22.23
C1,2019-12-04,-1,STOP,20.93,-20.92,-22.23
C1,2019-12-06,1,TIME,19.80,19.10,17.80
C1,2019-12-10,-1,STOP,19.54,-19.54,-20.84
C1,2019-12-13,-1,STOP,18.22,-18.22,-19.53
C1,2019-12-20,-1,STOP,16.65,-16.65,-17.96
C1,2020-01-02,1,STOP,16.54,-16.54,-17.84
C1,2020-01-03,1,TIME,16.54,49.48,48.18
C1,2020-01-06,-1,STOP,16.54,-16.54,-17.84
C1,2020-01-08,-1,STOP,16.54,-16.54,-17.84
C1,2020-01-09,1,STOP,16.54,-16.54,-17.84
C1,2020-01-14,1,STOP,17.47,-17.47,-18.78
C1,2020-01-27,-1,STOP,18.90,-18.90,-20.21
C1,2020-01-28,1,STOP,18.90,-18.90,-20.21
C1,2020-01-30,1,STOP,19.05,-19.05,-20.35
C1,2020-01-31,-1,TIME,19.43,165.04,163.73
C1,2020-02-03,1,TIME,19.43,69.54,68.23
C1,2020-02-04,1,STOP,19.43,-19.42,-20.73
C1,2020-02-05,-1,TIME,19.43,87.29,85.98
C1,2020-02-10,1,TIME,21.90,119.30,117.99
C1,2020-02-13,1,TIME,21.90,48.80,47.49
C1,2020-02-24,-1,STOP,23.77,-23.78,-25.08
C1,2020-02-25,1,STOP,24.52,-24.53,-25.83
C1,2020-02-26,1,STOP,24.82,-24.83,-26.13
C1,2020-02-27,0,WHIPSAW,25.50,-25.50,-26.80
C1,2020-02-28,0,WHIPSAW,25.95,-25.95,-27.26
C1,2020-03-02,1,STOP,26.10,-26.10,-27.40
C1,2020-03-04,1,STOP,27.56,-27.56,-28.87
C1,2020-03-05,0,WHIPSAW,27.90,-27.90,-29.21
C1,2020-03-06,1,STOP,30.45,-30.45,-31.76
C1,2020-03-09,-1,STOP,31.65,-31.65,-32.96
C1,2020-03-10,-1,STOP,32.40,-32.40,-33.71
C1,2020-03-12,-1,STOP,35.77,-35.78,-37.08
C1,2020-03-13,1,STOP,36.60,-36.60,-37.90
C1,2020-03-19,-1,STOP,40.80,-40.80,-42.10
C1,2020-03-20,-1,STOP,43.12,-43.12,-44.43
C1,2020-03-23,-1,STOP,46.39,-46.39,-47.69
C1,2020-06-11,1,STOP,54.75,-54.75,-56.05
C1,2020-06-12,1,STOP,54.75,-54.75,-56.05
C1,2020-06-15,1,STOP,54.30,-54.30,-55.60
C1,2020-06-16,-1,TIME,54.75,41.62,40.32
C1,2020-06-18,1,STOP,53.85,-53.85,-55.15
C1,2020-06-22,1,TIME,53.85,85.33,84.02
C1,2020-06-23,1,TIME,53.10,-9.80,-11.10
C1,2020-06-24,1,STOP,51.00,-51.00,-52.30
C1,2020-06-25,-1,STOP,53.10,-53.10,-54.40
C1,2020-07-06,1,TIME,54.04,90.48,89.18
C1,2020-07-14,1,STOP,54.98,-54.97,-56.28
C1,2020-07-16,-1,STOP,56.40,-56.40,-57.71
C1,2020-07-24,-1,STOP,55.61,-55.61,-56.92
C1,2020-07-27,-1,STOP,55.61,-55.61,-56.92
C1,2020-07-30,1,STOP,55.61,-55.61,-56.92
C1,2020-09-01,-1,STOP,58.27,-58.28,-59.58
C1,2020-09-02,-1,TIME,58.27,-20.14,-21.44
C1,2020-09-03,-1,TIME,58.27,446.11,444.81
C1,2020-09-04,-1,STOP,58.27,-58.28,-59.58
C1,2020-09-08,1,STOP,57.41,-57.41,-58.72
C1,2020-09-09,-1,STOP,57.41,-57.41,-58.72
C1,2020-09-10,-1,STOP,58.84,-58.84,-60.14
C1,2020-09-11,-1,STOP,60.38,-60.38,-61.68
C1,2020-09-15,1,STOP,61.35,-61.35,-62.65
C1,2020-09-17,1,STOP,63.07,-63.08,-64.38
C1,2020-09-21,1,STOP,63.52,-63.53,-64.83
C1,2020-09-28,-1,TIME,63.75,-38.12,-39.43
C1,2020-09-30,1,TIME,63.52,87.49,86.18
C1,2020-10-01,-1,STOP,63.52,-63.53,-64.83
C1,2020-10-02,1,STOP,63.52,-63.53,-64.83
C1,2020-10-12,-1,STOP,63.52,-63.53,-64.83
C1,2020-10-13,-1,TIME,63.52,20.99,19.68
C1,2020-10-15,1,TIME,64.50,87.00,85.69
C1,2020-10-19,-1,TIME,63.52,-15.01,-16.32
C1,2020-10-22,1,STOP,58.27,-58.28,-59.58
C1,2020-11-04,1,STOP,72.38,-72.38,-73.68
C1,2020-11-05,-1,STOP,74.59,-74.59,-75.89
C1,2020-11-09,-1,STOP,74.59,-74.59,-75.89
C1,2020-11-10,1,STOP,75.49,-75.49,-76.79
C1,2020-12-21,1,STOP,49.05,-49.05,-50.35
C1,2020-12-28,-1,STOP,47.32,-47.33,-48.63
C1,2021-01-06,1,STOP,47.32,-47.33,-48.63
C1,2021-01-11,-1,STOP,47.44,-47.44,-48.74
C1,2021-01-19,1,STOP,45.30,-45.30,-46.60
C1,2021-01-25,1,STOP,44.40,-44.40,-45.71
C1,2021-01-27,-1,TIME,44.14,248.43,247.13
C1,2021-01-28,1,STOP,44.66,-44.66,-45.97
C1,2021-01-29,1,STOP,45.19,-45.19,-46.49
C1,2021-02-01,1,STOP,45.45,-45.45,-46.75
C1,2021-02-02,1,TIME,47.10,97.95,96.65
C1,2021-02-17,-1,STOP,45.45,-45.45,-46.75
C1,2021-02-18,1,STOP,47.10,-47.10,-48.40
C1,2021-02-19,-1,TIME,47.77,90.86,89.56
C1,2021-02-22,1,STOP,47.44,-47.44,-48.74
C1,2021-02-23,-1,STOP,47.85,-47.85,-49.15
